timestamp,tempA,otemp,lumA,rso1A,rso2A,rso3A,rso4A,hour,minute,second
2025-04-02T16:18:54.418210,13.527,13.88,2.207,,,,,5.0,25.0,0.0
2025-04-02T16:18:56.989884,13.565,13.97,2.294,,,,,5.0,29.0,41.0
2025-04-02T16:18:59.538864,14.193,15.96,4.11,,,,,7.0,11.0,40.0
2025-04-02T16:19:02.072276,16.267,18.0,4.211,,,,,10.0,37.0,0.0
2025-04-02T16:19:04.630027,17.901,18.0,4.221,,,,,14.0,10.0,20.0
2025-04-02T16:19:07.180017,18.195,14.88,3.249,,,,,17.0,42.0,0.0
2025-04-02T16:19:09.705641,18.025,14.24,2.579,,,,,18.0,15.0,22.0
