timestamp;tempInt;tempExt;porteF1;porteF2;Humidity;Heure;VitesseVent
2025-04-08T10:43:50.375846;-0.035;11.26;True;True;0.89;6.0;6.667
2025-04-08T10:43:52.925231;12.781;26.97;True;True;0.89;10.0;6.667
2025-04-08T10:43:55.481062;23.199;26.08;True;True;0.89;13.0;6.667
2025-04-08T10:43:58.039946;21.422;9.31;True;True;0.89;17.0;6.667
2025-04-08T10:44:00.594120;8.333;-9.0;True;False;0.89;20.0;6.667
2025-04-08T10:44:03.152021;3.473;-9.0;True;False;0.89;0.0;6.667
2025-04-08T10:44:05.697629;3.63;-4.82;True;False;0.89;3.0;6.667
2025-04-08T10:44:08.254520;15.571;15.65;True;False;0.89;7.0;6.667
2025-04-08T10:44:10.809433;25.19;28.45;True;False;0.89;10.0;6.667
2025-04-08T10:44:13.369493;24.435;22.91;True;False;0.89;14.0;6.667
2025-04-08T10:44:15.924169;15.201;4.47;True;False;0.89;18.0;6.667
2025-04-08T10:44:18.487474;5.83;-9.0;True;False;0.89;21.0;6.667
2025-04-08T10:44:21.041466;3.186;-9.0;True;False;0.89;1.0;6.667
2025-04-08T10:44:23.592029;5.99;0.02;True;False;0.89;4.0;6.667
2025-04-08T10:44:26.146728;18.698;19.64;True;False;0.89;8.0;6.667
2025-04-08T10:44:28.682497;25.945;28.78;True;False;0.89;11.0;6.667
2025-04-08T10:44:31.221388;22.513;19.3;True;False;0.89;15.0;6.667
2025-04-08T10:44:33.774452;12.62;-0.42;True;False;0.89;18.0;6.667
2025-04-08T10:44:36.318208;5.037;-9.0;True;False;0.89;22.0;6.667
2025-04-08T10:44:38.855654;2.83;-9.0;True;False;0.89;1.0;6.667
2025-04-08T10:44:41.403362;8.257;4.28;True;False;0.89;5.0;6.667
2025-04-08T10:44:43.947147;21.059;22.61;True;False;0.89;8.0;6.667
2025-04-08T10:44:46.491614;26.088;28.11;True;False;0.89;12.0;6.667
2025-04-08T10:44:49.045212;20.326;15.39;True;False;0.89;16.0;6.667
